unmatched_key,length,has_numbers,pattern,suggestion
MN130,5,True,MN,ADD_TO_REFERENCE
CC678,5,True,CC,ADD_TO_REFERENCE
MN969,5,True,MN,ADD_TO_REFERENCE
MN121,5,True,MN,ADD_TO_REFERENCE
MN264,5,True,MN,ADD_TO_REFERENCE
AA182,5,True,AA,ADD_TO_REFERENCE
BB154,5,True,BB,ADD_TO_REFERENCE
CC750,5,True,CC,ADD_TO_REFERENCE
CC960,5,True,CC,ADD_TO_REFERENCE
XZ181,5,True,XZ,ADD_TO_REFERENCE
XZ535,5,True,XZ,ADD_TO_REFERENCE
CC376,5,True,CC,ADD_TO_REFERENCE
AA219,5,True,AA,ADD_TO_REFERENCE
KJ134,5,True,KJ,ADD_TO_REFERENCE
CC636,5,True,CC,ADD_TO_REFERENCE
MN900,5,True,MN,ADD_TO_REFERENCE
BB192,5,True,BB,ADD_TO_REFERENCE
AA520,5,True,AA,ADD_TO_REFERENCE
AA310,5,True,AA,ADD_TO_REFERENCE
BB980,5,True,BB,ADD_TO_REFERENCE
BB569,5,True,BB,ADD_TO_REFERENCE
CC635,5,True,CC,ADD_TO_REFERENCE
XZ115,5,True,XZ,ADD_TO_REFERENCE
KJ917,5,True,KJ,ADD_TO_REFERENCE
CC170,5,True,CC,ADD_TO_REFERENCE
AA224,5,True,AA,ADD_TO_REFERENCE
XZ646,5,True,XZ,ADD_TO_REFERENCE
XZ498,5,True,XZ,ADD_TO_REFERENCE
XZ253,5,True,XZ,ADD_TO_REFERENCE
KJ845,5,True,KJ,ADD_TO_REFERENCE
MN125,5,True,MN,ADD_TO_REFERENCE
CC791,5,True,CC,ADD_TO_REFERENCE
MN775,5,True,MN,ADD_TO_REFERENCE
KJ546,5,True,KJ,ADD_TO_REFERENCE
CC344,5,True,CC,ADD_TO_REFERENCE
AA421,5,True,AA,ADD_TO_REFERENCE
AA886,5,True,AA,ADD_TO_REFERENCE
CC399,5,True,CC,ADD_TO_REFERENCE
KJ230,5,True,KJ,ADD_TO_REFERENCE
MN148,5,True,MN,ADD_TO_REFERENCE
CC849,5,True,CC,ADD_TO_REFERENCE
CC511,5,True,CC,ADD_TO_REFERENCE
MN742,5,True,MN,ADD_TO_REFERENCE
AA240,5,True,AA,ADD_TO_REFERENCE
KJ459,5,True,KJ,ADD_TO_REFERENCE
AA283,5,True,AA,ADD_TO_REFERENCE
KJ871,5,True,KJ,ADD_TO_REFERENCE
MN480,5,True,MN,ADD_TO_REFERENCE
AA986,5,True,AA,ADD_TO_REFERENCE
XZ469,5,True,XZ,ADD_TO_REFERENCE
KJ598,5,True,KJ,ADD_TO_REFERENCE
BB402,5,True,BB,ADD_TO_REFERENCE
MN413,5,True,MN,ADD_TO_REFERENCE
AA926,5,True,AA,ADD_TO_REFERENCE
XZ275,5,True,XZ,ADD_TO_REFERENCE
MN568,5,True,MN,ADD_TO_REFERENCE
AA123,5,True,AA,ADD_TO_REFERENCE
KJ496,5,True,KJ,ADD_TO_REFERENCE
CC861,5,True,CC,ADD_TO_REFERENCE
MN848,5,True,MN,ADD_TO_REFERENCE
AA851,5,True,AA,ADD_TO_REFERENCE
CC676,5,True,CC,ADD_TO_REFERENCE
BB560,5,True,BB,ADD_TO_REFERENCE
BB486,5,True,BB,ADD_TO_REFERENCE
KJ405,5,True,KJ,ADD_TO_REFERENCE
AA105,5,True,AA,ADD_TO_REFERENCE
CC261,5,True,CC,ADD_TO_REFERENCE
BB660,5,True,BB,ADD_TO_REFERENCE
MN166,5,True,MN,ADD_TO_REFERENCE
KJ797,5,True,KJ,ADD_TO_REFERENCE
CC393,5,True,CC,ADD_TO_REFERENCE
XZ339,5,True,XZ,ADD_TO_REFERENCE
CC957,5,True,CC,ADD_TO_REFERENCE
CC143,5,True,CC,ADD_TO_REFERENCE
BB997,5,True,BB,ADD_TO_REFERENCE
MN158,5,True,MN,ADD_TO_REFERENCE
CC453,5,True,CC,ADD_TO_REFERENCE
MN938,5,True,MN,ADD_TO_REFERENCE
BB527,5,True,BB,ADD_TO_REFERENCE
XZ972,5,True,XZ,ADD_TO_REFERENCE
CC253,5,True,CC,ADD_TO_REFERENCE
BB552,5,True,BB,ADD_TO_REFERENCE
CC314,5,True,CC,ADD_TO_REFERENCE
CC133,5,True,CC,ADD_TO_REFERENCE
BB751,5,True,BB,ADD_TO_REFERENCE
BB712,5,True,BB,ADD_TO_REFERENCE
AA718,5,True,AA,ADD_TO_REFERENCE
XZ350,5,True,XZ,ADD_TO_REFERENCE
MN790,5,True,MN,ADD_TO_REFERENCE
AA892,5,True,AA,ADD_TO_REFERENCE
